Composition,Eg_exp,Eg_DFT
Ag2BiO3,0,0.3872
Ag2BiO3,0,0.5053
Ag2GeS3,1.98,0.4646
Ag2GeSe3,0.91,0.0626
Ag2HgI4,2.47,1.2764
Ag2HgI4,2.47,1.2219
Ag2HgI4,2.47,0.0872
Ag2HgI4,2.47,1.1004
Ag2P2PbO7,0,2.3697
Ag2S,1.23,1.184
Ag2S,1.23,1.2299
Ag2S,1.23,0.9742
Ag2S,1.23,1.5694
Ag2S,1.23,1.0891
Ag2S,1.23,0.6819
Ag2S,1.23,0.6685
Ag2S,1.23,1.3634
Ag2S,1.23,1.3001
Ag2S,1.23,0.6243
Ag2S,1.23,1.4428
Ag2S,1.23,1.0895
Ag2S,1.23,0.1202
Ag2S,1.23,1.0853
Ag2S,1.23,0.3701
Ag2S,1.23,1.0007
Ag2SnSe3,0.84,0.0586
Ag3AsS3,2.235,1.1771
Ag3AsS3,2.235,1.6989
Ag3AsS3,2.235,1.6278
Ag3AsSe3,1.98,0.8453
Ag3AsSe3,1.98,0.9037
Ag3SbS3,2.077,1.8371
Ag3SbS3,2.077,0.9521
Ag3SbS3,2.077,1.5142
Ag5IO6,1.4,0.0205
Ag7AsS6,1,0.7299
Ag8GeS6,1.18,0.6102
AgAsS2,2.14,1.4968
AgAsS2,2.14,1.5777
AgBiS2,0.9,0.4918
AgBiS2,0.9,0.2304
AgBiS2,0.9,0.5212
AgBiS2,0.9,0.3169
AgBiSe2,0.34,0.2618
AgBiSe2,0.34,0.2341
AgBiSe2,0.34,0.0211
AgBr,2.52,0.1214
AgBr,2.52,1.2442
AgBr,2.52,0.7304
AgBr,2.52,0.699
AgBr,2.52,1.1708
AgCl,5.13,0.7132
AgCl,5.13,0.9522
AgCl,5.13,0.872
AgCl,5.13,0.4438
AgCl,5.13,0.6022
AgCNO,0,1.3019
AgCNO,0,2.3532
AgCNO,0,3.0696
AgCNO,0,2.8161
AgI,3.0247,1.8797
AgI,3.0247,1.3877
AgI,3.0247,0.7684
AgI,3.0247,1.3674
AgI,3.0247,1.5986
AgI,3.0247,0.9589
AgI,3.0247,1.3759
AgI,3.0247,1.3143
AgN3,3.44,1.5714
AgN3,3.44,1.6315
AgO,1.57,0.116
AgO,1.57,0.1826
AgP15,1.47,1.2132
AgSbS2,1.9,1.7448
AgSbS2,1.9,1.3127
AgSbS2,1.9,0.0764
AgSbS2,1.9,1.3716
AgSbS2,1.9,1.6047
AgTe,0.85,0.2411
Al2Cr2O7,0,0.0925
Al2Ru,0,0.0864
Al2S3,4.1,2.4329
Al2S3,4.1,3.0435
Al2S3,4.1,2.817
Al2S3,4.1,2.0693
Al2S3,4.1,1.025
Al2Se3,3.1,1.8004
Al2Se3,3.1,0.586
Al2Se3,3.1,0.9578
Al2Se3,3.1,1.1246
Al2Te3,2.2,1.3222
Al2Te3,2.2,0.683
Al2Te3,2.2,1.854
AlAs,0,1.5037
AlAs,0,1.687
AlAs,0,1.1898
AlCoO3,0,2.5603
AlCoO3,0,0.0255
AlCoO3,0,0.8939
AlCoO3,0,0.8272
AlCoO3,0,0.3481
AlN,5.9,3.2687
AlN,5.9,4.4175
AlN,5.9,3.3056
AlN,5.9,4.0467
AlP,3.62,1.6294
AlP,3.62,1.9533
AlP,3.62,2.3944
AlSb,1.666,0.9179
AlSb,1.666,0.7753
AlSb,1.666,1.2255
As2O3,4,3.4494
As2O3,4,1.4491
As2O3,4,3.0503
As2O3,4,3.6287
As2O3,4,3.6206
As2O3,4,3.3787
As2O3,4,3.6306
As2O3,4,4.0339
As2O3,4,4.0234
As2O3,4,3.7495
As2S3,1.89,1.9873
As2S3,1.89,2.0989
As2Se3,1.84,0.6003
As2Se3,1.84,1.4466
AsBr3,2.6,3.1271
AsI3,2.29,2.2375
AsSeI,1.76,1.2345
AuBrO2,0,0.7129
B2O3,4.9,4.1254
B2O3,4.9,4.231
B2O3,4.9,4.1765
B2O3,4.9,4.4301
B2O3,4.9,4.4793
B2O3,4.9,6.3017
B2O3,4.9,8.3751
B4C,1.64,3.0415
B4C,1.64,1.5149
B6P,3.3,2.4757
Ba12In4S19,2.56,1.978
